Source,Target,Class,Type
R003599,R001795,membership,Directed
R003599,R000432,membership,Directed
R001603,R000328,membership,Directed
R001603,R001795,membership,Directed
R001526,R003404,membership,Directed
R001526,R001208,membership,Directed
R001526,R002065,membership,Directed
R001770,R002509,membership,Directed
R004057,R000672,membership,Directed
R004057,R000328,membership,Directed
R004057,R001392,membership,Directed
R004057,R001795,membership,Directed
R004057,R001564,membership,Directed
R004517,R001208,membership,Directed
R005625,R000747,membership,Directed
R005625,R000798,membership,Directed
R005625,R001850,membership,Directed
R005625,R003145,membership,Directed
R005625,R000841,membership,Directed
R001940,R002011,membership,Directed
R002217,R002065,membership,Directed
R005847,R002709,membership,Directed
R001253,R000672,membership,Directed
R001253,R001564,membership,Directed
R000129,R000328,membership,Directed
R000129,R001795,membership,Directed
R002998,R000672,membership,Directed
R003143,R000672,membership,Directed
R003143,R002111,membership,Directed
R000484,R003404,membership,Directed
R000484,R000798,membership,Directed
R004233,R001795,membership,Directed
R004141,R000672,membership,Directed
R004141,R002189,membership,Directed
R004141,R000479,membership,Directed
R003342,R000672,membership,Directed
R003342,R001231,membership,Directed
R003976,R000672,membership,Directed
R003976,R002189,membership,Directed
R003976,R000479,membership,Directed
R004728,R000672,membership,Directed
R004728,R002737,membership,Directed
R001050,R000912,membership,Directed
R004001,R000129,membership,Directed
R002681,R000328,membership,Directed
R001208,R000672,membership,Directed
R005710,R001564,membership,Directed
R005710,R004624,membership,Directed
R002788,R000672,membership,Directed
R005812,R000672,membership,Directed
R005812,R000798,membership,Directed
R002591,R001795,membership,Directed
R001787,R000672,membership,Directed
R003050,R002215,membership,Directed
R000331,R000672,membership,Directed
R004170,R001238,membership,Directed
R001594,R002065,membership,Directed
R001594,R001564,membership,Directed
R004004,R003404,membership,Directed
R004558,R003955,membership,Directed
R004722,R000672,membership,Directed
R004722,R002737,membership,Directed
R003035,R000672,membership,Directed
R003035,R000904,membership,Directed
R005789,R002111,membership,Directed
R005789,R002203,membership,Directed
R005115,R000672,membership,Directed
R005115,R000432,membership,Directed
R001231,R003404,membership,Directed
R001231,R001795,membership,Directed
R001231,R000328,membership,Directed
R001231,R000798,membership,Directed
R001777,R002065,membership,Directed
R001777,R001677,membership,Directed
R001007,R002189,membership,Directed
R005241,R002111,membership,Directed
R005241,R000912,membership,Directed
R005127,R002065,membership,Directed
R001148,R002065,membership,Directed
R001302,R002674,membership,Directed
R005556,R000672,membership,Directed
R005556,R002111,membership,Directed
R005556,R000903,membership,Directed
R002916,R003134,membership,Directed
R003827,R000088,membership,Directed
R003827,R002709,membership,Directed
R002694,R000798,membership,Directed
R002637,R001795,membership,Directed
R003966,R000672,membership,Directed
R003966,R002737,membership,Directed
R003721,R003404,membership,Directed
R003119,R002065,membership,Directed
R003119,R001677,membership,Directed
R002171,R000672,membership,Directed
R002171,R002246,membership,Directed
R000273,R001795,membership,Directed
R004215,R002065,membership,Directed
R002281,R000672,membership,Directed
R004385,R001850,membership,Directed
R005739,R000672,membership,Directed
R003972,R003404,membership,Directed
R002544,R001795,membership,Directed
R002564,R002065,membership,Directed
R002361,R000672,membership,Directed
R002361,R000747,membership,Directed
R002320,R003404,membership,Directed
R002403,R003134,membership,Directed
R005505,R002955,membership,Directed
R000006,R002737,membership,Directed
R000152,R000672,membership,Directed
R000152,R003404,membership,Directed
R000468,R000672,membership,Directed
R005720,R002737,membership,Directed
R005715,R001208,membership,Directed
R005714,R001208,membership,Directed
R002228,R000672,membership,Directed
R002228,R003404,membership,Directed
R002228,R000328,membership,Directed
R002228,R001795,membership,Directed
R002228,R002111,membership,Directed
R002228,R000257,membership,Directed
R003169,R000798,membership,Directed
R005133,R002111,membership,Directed
R004687,R000780,membership,Directed
R004583,R000672,membership,Directed
R004583,R002189,membership,Directed
R004583,R000479,membership,Directed
R003680,R002111,membership,Directed
R001574,R000759,membership,Directed
R002289,R002771,contractor,Directed
R002565,R002222,contractor,Directed
R002565,R002616,contractor,Directed
R002565,R002729,contractor,Directed
R002565,R002217,contractor,Directed
R002565,R000957,contractor,Directed
R002565,R001732,contractor,Directed
R002565,R001225,contractor,Directed
R002565,R003474,contractor,Directed
R002565,R000969,contractor,Directed
R002565,R001450,contractor,Directed
R002565,R002405,contractor,Directed
R001413,R005037,contractor,Directed
R001413,R002303,contractor,Directed
R001413,R001275,contractor,Directed
R000756,R003522,contractor,Directed
R000756,R000331,contractor,Directed
R002872,R001794,contractor,Directed
R002872,R003411,contractor,Directed
R002872,R005440,contractor,Directed
R002304,R001363,contractor,Directed
R004838,R003005,contractor,Directed
R000801,R003231,contractor,Directed
R000801,R003908,contractor,Directed
R000801,R004233,contractor,Directed
R000801,R004531,contractor,Directed
R002330,R002206,contractor,Directed
R001872,R002230,contractor,Directed
R001872,R002361,contractor,Directed
R001872,R004544,contractor,Directed
R001872,R004711,contractor,Directed
R001872,R001160,contractor,Directed
R000773,R000767,contractor,Directed
R000773,R000771,contractor,Directed
R000773,R000770,contractor,Directed
R002324,R002083,contractor,Directed
R002324,R005031,contractor,Directed
R000709,R000529,contractor,Directed
R000709,R002359,contractor,Directed
R000709,R002174,contractor,Directed
R000709,R002228,contractor,Directed
R001191,R003121,contractor,Directed
R001191,R001661,contractor,Directed
R002291,R002922,contractor,Directed
R002291,R000969,contractor,Directed
R002291,R001801,contractor,Directed
R002291,R001443,contractor,Directed
R002291,R004965,contractor,Directed
R002291,R000469,contractor,Directed
R003908,R004480,contractor,Directed
R003908,R004233,contractor,Directed
R003908,R004234,contractor,Directed
R003908,R004419,contractor,Directed
R003908,R004235,contractor,Directed
R003908,R004236,contractor,Directed
R003908,R004335,contractor,Directed
R003908,R004377,contractor,Directed
R003908,R004301,contractor,Directed
R001932,R001925,contractor,Directed
R001932,R001935,contractor,Directed
R001932,R001939,contractor,Directed
R001932,R001943,contractor,Directed
R001824,R001363,contractor,Directed
R001824,R001794,contractor,Directed
R001824,R001859,contractor,Directed
R001824,R004477,contractor,Directed
R001824,R002997,contractor,Directed
R001824,R003054,contractor,Directed
R002341,R004264,contractor,Directed
R001893,R001445,contractor,Directed
R001893,R002157,contractor,Directed
R001893,R005739,contractor,Directed
R002432,R004728,contractor,Directed
R002432,R002824,contractor,Directed
R002969,R002359,contractor,Directed
R001101,R001551,contractor,Directed
R001101,R001554,contractor,Directed
R001101,R001720,contractor,Directed
R001101,R001726,contractor,Directed
R001101,R001738,contractor,Directed
R001101,R001733,contractor,Directed
R001101,R001735,contractor,Directed
R001101,R001737,contractor,Directed
R001101,R001636,contractor,Directed
R001101,R000755,contractor,Directed
R001101,R003011,contractor,Directed
R001101,R003045,contractor,Directed
R001101,R004079,contractor,Directed
R001101,R005505,contractor,Directed
R001101,R005720,contractor,Directed
R001101,R005577,contractor,Directed
R000215,R005169,contractor,Directed
R003488,R005357,contractor,Directed
R001927,R001920,contractor,Directed
R001927,R001940,contractor,Directed
R001927,R001950,contractor,Directed
R001927,R001952,contractor,Directed
R001927,R002868,contractor,Directed
R001927,R001942,contractor,Directed
R001927,R002012,contractor,Directed
R001845,R005088,contractor,Directed
R001870,R002222,contractor,Directed
R004728,R002432,contractor,Directed
R002681,R003461,contractor,Directed
R002681,R003454,contractor,Directed
R001860,R003317,contractor,Directed
R000646,R003146,contractor,Directed
R001755,R002022,contractor,Directed
R001755,R002031,contractor,Directed
R001755,R003050,contractor,Directed
R001023,R002222,contractor,Directed
R002812,R002353,contractor,Directed
R000448,R002281,contractor,Directed
R000448,R004304,contractor,Directed
R000391,R000322,contractor,Directed
R000391,R003434,contractor,Directed
R005322,R002228,contractor,Directed
R000703,R001101,contractor,Directed
R005485,R001794,contractor,Directed
R002967,R004052,contractor,Directed
R002967,R003968,contractor,Directed
R002967,R004045,contractor,Directed
R002967,R004903,contractor,Directed
R003678,R001364,contractor,Directed
R000315,R002043,contractor,Directed
R001858,R001844,contractor,Directed
R002321,R003085,contractor,Directed
R002321,R004909,contractor,Directed
R002383,R002509,contractor,Directed
R002228,R002238,contractor,Directed
R005431,R001875,contractor,Directed
R001551,R005505,contractor,Directed
R001551,R005720,contractor,Directed
R001554,R005505,contractor,Directed
R001554,R005720,contractor,Directed
R004862,R002359,contractor,Directed
R005464,R002056,contractor,Directed
R005397,R002230,contractor,Directed
R005385,R004118,contractor,Directed
R005023,R001108,contractor,Directed
R004407,R003706,contractor,Directed
R003548,R001363,contractor,Directed
