Id,Label,type,budget,zip,interestPercentage
R001737,PreZero Stiftung & Co. KG,Unternehmen,1170000.0,74172.0,0.0
R001720,Schwarz Dienstleistung KG,Unternehmen,1170000.0,74172.0,0.09375
R002315,Bundesvereinigung der Helfer und Förderer des Technischen Hilfswerks - THW-Bundesvereinigung e.V.,Verein/Verband,1160000.0,10117.0,0.0
R001628,HENSOLDT AG,Unternehmen,1150000.0,82024.0,0.0689655172413793
R001875,Siemens AG,Unternehmen,1150000.0,80333.0,0.0862068965517241
R002003,Deutscher Wasserstoff- und Brennstoffzellen-Verband e.V.,Verein/Verband,1150000.0,10115.0,0.0
R000335,Arbeitsgemeinschaft Deutscher Waldbesitzerverbände (AGDW) e.V.,Verein/Verband,1130000.0,10117.0,0.0
R001203,Fraunhofer-Gesellschaft zur Förderung der angewandten Forschung e. V.,Verein/Verband,1120000.0,80686.0,0.0
R001638,MAN Truck & Bus SE,Unternehmen,1110000.0,80995.0,0.032258064516129
R003029,Orsted Germany GmbH,Unternehmen,1100000.0,22767.0,0.0833333333333333
R003842,BUND Sachsen-Anhalt e.V.,Verein/Verband,1090000.0,39108.0,0.0
R001803,Wacker Chemie AG,Unternehmen,1060000.0,10117.0,0.0
R001768,Dr. Ing. h.c. F. Porsche AG,Unternehmen,1050000.0,70435.0,0.1111111111111111
R000796,AbbVie Deutschland GmbH & Co. KG,Unternehmen,1050000.0,65189.0,0.0
R002453,Airbus Helicopters Deutschland GmbH,Unternehmen,1050000.0,86609.0,0.0
R001562,Allianz SE,Unternehmen,1050000.0,80802.0,0.0
R003287,Verband der Bahnindustrie in Deutschland (VDB) e. V.,Verein/Verband,1040000.0,10117.0,0.1388888888888889
R001118,Thüga Aktiengesellschaft,Unternehmen,1040000.0,80335.0,0.0
R001625,50Hertz Transmission GmbH,Unternehmen,1030000.0,10557.0,0.0
R001601,Generali Deutschland AG,Unternehmen,1020000.0,81737.0,0.1
R001733,Kaufland Stiftung & Co. KG,Unternehmen,1010000.0,74172.0,0.09375
R001956,Südzucker AG,Unternehmen,1010000.0,68165.0,0.0
R003283,The Wellcome Trust Limited,,1000000.0,,0.0
R001137,Vattenfall GmbH,Unternehmen,1000000.0,10829.0,0.0769230769230769
R000093,,,1000000.0,,0.1176470588235294
R001233,Sanofi-Aventis Deutschland GmbH,Unternehmen,990000.0,65929.0,0.0
R001238,Vitako Bundes-Arbeitsgemeinschaft der Kommunalen IT-Dienstleister e. V.,Verein/Verband,980000.0,10117.0,0.4166666666666667
R003469,Stiftung World Future Council,Verein/Verband,980000.0,22767.0,0.0
